0.1,0.001,,,,,,,,
0.1,0.002,,,,,,,,
0.1,0.002,,,,,,,,
0.1,0.002,,,,,,,,
0.1,0.003,,,,,,,,
0.1,0.004,,,,,,,,
0.1,0.004,,,,,K=1,S=2,μ=1,
0.1,0.004,,,,,,,,
0.1,0.005,,,,,α,0.05,,
0.1,0.005,,,,,標本数,100,,
0.1,0.005,,,,,,,,
0.1,0.005,,,,,λ,標準偏差,信頼区間,呼損率
0.1,0.005,,,,,0.1,0.003220621,0.00063123,0.009
0.1,0.006,,,,,0.2,0.005664062,0.001110136,0.0345
0.1,0.006,,,,,0.3,0.00863886,0.001693185,0.064
0.1,0.006,,,,,0.4,0.01123167,0.002201367,0.104
0.1,0.006,,,,,0.5,0.013430841,0.002632397,0.141
0.1,0.006,,,,,0.6,0.013933338,0.002730884,0.175
0.1,0.006,,,,,0.7,0.01711045,0.003353587,0.2185
0.1,0.006,,,,,0.8,0.018447425,0.003615629,0.2555
0.1,0.006,,,,,0.9,0.018453994,0.003616916,0.299
0.1,0.007,,,,,1,0.018504321,0.00362678,0.3405
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.007,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.008,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.009,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.01,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.011,,,,,,,,
0.1,0.012,,,,,,,,
0.1,0.012,,,,,,,,
0.1,0.012,,,,,,,,
0.1,0.013,,,,,,,,
0.1,0.013,,,,,,,,
0.1,0.013,,,,,,,,
0.1,0.014,,,,,,,,
0.1,0.014,,,,,,,,
0.1,0.015,,,,,,,,
0.1,0.015,,,,,,,,
0.1,0.016,,,,,,,,
0.1,0.016,,,,,,,,
0.1,0.016,,,,,,,,
0.1,0.019,,,,,,,,
0.2,0.021,,,,,,,,
0.2,0.021,,,,,,,,
0.2,0.022,,,,,,,,
0.2,0.024,,,,,,,,
0.2,0.024,,,,,,,,
0.2,0.025,,,,,,,,
0.2,0.025,,,,,,,,
0.2,0.026,,,,,,,,
0.2,0.026,,,,,,,,
0.2,0.026,,,,,,,,
0.2,0.026,,,,,,,,
0.2,0.026,,,,,,,,
0.2,0.027,,,,,,,,
0.2,0.027,,,,,,,,
0.2,0.027,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.028,,,,,,,,
0.2,0.029,,,,,,,,
0.2,0.029,,,,,,,,
0.2,0.029,,,,,,,,
0.2,0.029,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.03,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.031,,,,,,,,
0.2,0.032,,,,,,,,
0.2,0.032,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.033,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.034,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.035,,,,,,,,
0.2,0.036,,,,,,,,
0.2,0.036,,,,,,,,
0.2,0.037,,,,,,,,
0.2,0.037,,,,,,,,
0.2,0.037,,,,,,,,
0.2,0.037,,,,,,,,
0.2,0.037,,,,,,,,
0.2,0.037,,,,,,,,
0.2,0.038,,,,,,,,
0.2,0.038,,,,,,,,
0.2,0.038,,,,,,,,
0.2,0.038,,,,,,,,
0.2,0.038,,,,,,,,
0.2,0.038,,,,,,,,
0.2,0.039,,,,,,,,
0.2,0.039,,,,,,,,
0.2,0.039,,,,,,,,
0.2,0.039,,,,,,,,
0.2,0.04,,,,,,,,
0.2,0.04,,,,,,,,
0.2,0.04,,,,,,,,
0.2,0.041,,,,,,,,
0.2,0.041,,,,,,,,
0.2,0.042,,,,,,,,
0.2,0.042,,,,,,,,
0.2,0.042,,,,,,,,
0.2,0.042,,,,,,,,
0.2,0.044,,,,,,,,
0.2,0.044,,,,,,,,
0.2,0.045,,,,,,,,
0.2,0.046,,,,,,,,
0.2,0.048,,,,,,,,
0.3,0.043,,,,,,,,
0.3,0.046,,,,,,,,
0.3,0.051,,,,,,,,
0.3,0.051,,,,,,,,
0.3,0.052,,,,,,,,
0.3,0.054,,,,,,,,
0.3,0.054,,,,,,,,
0.3,0.054,,,,,,,,
0.3,0.055,,,,,,,,
0.3,0.055,,,,,,,,
0.3,0.056,,,,,,,,
0.3,0.056,,,,,,,,
0.3,0.056,,,,,,,,
0.3,0.056,,,,,,,,
0.3,0.056,,,,,,,,
0.3,0.057,,,,,,,,
0.3,0.057,,,,,,,,
0.3,0.057,,,,,,,,
0.3,0.057,,,,,,,,
0.3,0.057,,,,,,,,
0.3,0.057,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.058,,,,,,,,
0.3,0.059,,,,,,,,
0.3,0.059,,,,,,,,
0.3,0.06,,,,,,,,
0.3,0.06,,,,,,,,
0.3,0.06,,,,,,,,
0.3,0.06,,,,,,,,
